%time,field.left_wheels,field.right_wheels
1557445530692962355,-5.0,-5.0
1557445530783246257,-5.0,-5.0
1557445530883013114,-5.0,-5.0
1557445530982960384,-5.0,-5.0
1557445531082366467,-5.0,-5.0
1557445531182341291,-5.0,-5.0
1557445531282371698,-5.0,-5.0
1557445531381974788,-5.0,-5.0
1557445531481812309,-5.0,-5.0
1557445531581828692,-5.0,-5.0
1557445531681905853,-5.0,-5.0
1557445531781917892,-5.0,-5.0
1557445531881729962,-5.0,-5.0
1557445531981862845,-5.0,-5.0
1557445532081731251,-5.0,-5.0
1557445532181767921,-5.0,-5.0
1557445532281773293,-5.0,-5.0
1557445532381919619,-5.0,-5.0
1557445532481816839,-5.0,-5.0
1557445532581818161,-5.0,-5.0
1557445532681963603,-5.0,-5.0
1557445532781816970,-5.0,-5.0
1557445532881861302,-5.0,-5.0
1557445532982242832,-5.0,-5.0
1557445533081864759,-5.0,-5.0
1557445533181886169,-5.0,-5.0
1557445533281949283,-5.0,-5.0
1557445533382186719,-5.0,-5.0
1557445533481937630,-5.0,-5.0
1557445533581893042,-5.0,-5.0
1557445533681910018,-5.0,-5.0
1557445533781927630,-5.0,-5.0
1557445533881939803,-5.0,-5.0
1557445533982046493,-5.0,-5.0
1557445534082039460,-5.0,-5.0
1557445534182022478,-5.0,-5.0
1557445534282092419,-5.0,-5.0
1557445534382095383,-5.0,-5.0
1557445534481914404,-5.0,-5.0
1557445534582072858,-5.0,-5.0
1557445534681949458,-5.0,-5.0
1557445534781979349,-5.0,-5.0
1557445534881981643,-5.0,-5.0
1557445534981990432,-5.0,-5.0
1557445535082024414,-5.0,-5.0
1557445535182031668,-5.0,-5.0
1557445535282171624,5.0,5.0
1557445535382028016,5.0,5.0
1557445535482069181,5.0,5.0
1557445535582458653,5.0,5.0
1557445535682067939,5.0,5.0
1557445535782070939,5.0,5.0
1557445535882129284,5.0,5.0
1557445535982377976,5.0,5.0
1557445536082113779,5.0,5.0
1557445536182079409,5.0,5.0
1557445536282093009,5.0,5.0
1557445536382115735,5.0,5.0
1557445536482126374,5.0,5.0
1557445536582240022,5.0,5.0
1557445536682203018,5.0,5.0
1557445536782246252,5.0,5.0
1557445536882273584,5.0,5.0
1557445536982302817,5.0,5.0
1557445537082135036,5.0,5.0
1557445537182253111,5.0,5.0
1557445537282121519,5.0,5.0
1557445537382155470,5.0,5.0
1557445537482183329,5.0,5.0
1557445537582186200,5.0,5.0
1557445537682215065,5.0,5.0
1557445537782251748,5.0,5.0
1557445537882371075,5.0,5.0
1557445537982214698,5.0,5.0
